Text,Start Time,Duration
let's,2874.599,4.02
reload that so this is looking good but,2875.8,4.08
you can see that the picture is,2878.619,3.301
stretched a little bit and if this was,2879.88,4.26
some photograph then it would look,2881.92,5.82
really bad so then you can unstretch the,2884.14,5.219
picture so there are ways to unstretch,2887.74,3.18
the picture I'm just using something,2889.359,3.361
that I looked up earlier called object,2890.92,4.439
fit which is used to make sure that,2892.72,4.2
instead of stretching the picture we,2895.359,3.48
simply use the portion of the picture,2896.92,4.74
that can fit inside the content so now,2898.839,4.681
this was the original picture do,2901.66,3.84
something great you can see here that it,2903.52,4.02
was actually quite tall and now the same,2905.5,4.14
thing is showing up here,2907.54,4.38
so now this picture runs across the,2909.64,4.56
screen so that's nice now let's go in,2911.92,4.38
here and let's change the H2 as well so,2914.2,3.899
for the H2S,2916.3,4.26
I'm going to use the font Roboto again,2918.099,4.561
so font family,2920.56,4.2
Roboto,2922.66,4.5
then I'm going to use the font size,2924.76,5.7
Let's see we used 40 for H1 so let me,2927.16,6.84
use 32 for H2,2930.46,7.619
and then I am going to use the color,2934.0,5.88
maybe let's make this a little darker,2938.079,4.801
let's make this 50,2939.88,8.0
50 and 50 and let's make this,2942.88,5.0
hundred hundred and hundred,2949.119,7.441
and finally I am also going to text,2952.839,6.141
align,2956.56,2.42
Center,2959.74,4.02
so my H2S you will see that there are,2961.18,4.32
two H2S on the page both of them are,2963.76,4.319
fixed and now I maybe also want to use,2965.5,5.22
Font weight normal even,2968.079,5.04
and that's nice now finally we have this,2970.72,4.02
paragraph tag so let me take this,2973.119,4.801
paragraph and let me style that as well,2974.74,5.04
again I'm just going to use Font family,2977.92,4.199
Roboto for now all over my page I like,2979.78,5.4
the Roboto font and I'm going to change,2982.119,7.74
the color to RGB 8080,2985.18,4.679
so now we have jobin careers do,2993.7,3.06
something great about Jovian open,2995.319,2.641
positions,2996.76,3.3
it's looking better looking better but,2997.96,3.6
of course not looking very professional,3000.06,3.42
I think one of the things here is that,3001.56,3.539
this text is becoming really hard to,3003.48,3.119
read because it is going from the left,3005.099,3.781
to right so what we may want to put is,3006.599,4.321
we may want to just limit the amount of,3008.88,4.26
content to somewhere in the center for,3010.92,4.14
example if you go to,3013.14,4.92
zero to pandas.com one of our courses,3015.06,5.34
you will see here that this is slightly,3018.06,4.259
more readable because the content is,3020.4,4.62
centered it is not expanding to take up,3022.319,4.921
the entire space now how do we do that,3025.02,5.46
the way to apply such layout related,3027.24,7.92
changes is using special tags called div,3030.48,7.2
so I'm going to take all of this and put,3035.16,4.38
this in a div tag,3037.68,4.679
I am going to put this in a div tag and,3039.54,5.579
I am going to then,3042.359,4.441
give that a little tap so that it's,3045.119,3.061
easier to see,3046.8,4.319
and now for this div tag I can give it,3048.18,5.58
an ID so let me give it an ID container,3051.119,4.5
and then let me select the container,3053.76,4.819
hash container,3055.619,2.96
and now I want to limit the width of,3058.98,3.96
this container and the way to limit,3061.619,2.761
width is using something called Max,3062.94,3.899
width again all you need to do is look,3064.38,5.4
up how to limit the width of a div and,3066.839,5.641
let me give it 720 pixels as the max,3069.78,4.62
width,3072.48,3.839
and let's see,3074.4,4.02
so now it is limited taking up less,3076.319,5.52
space on the screen but I do not want it,3078.42,5.76
to be on the left I want it to be,3081.839,4.681
centered now the way centering is,3084.18,5.7
achieved in CSS is by providing margins,3086.52,5.64
and this is where we may want to learn,3089.88,4.26
about something called the CSS Box model,3092.16,6.56
so if you just look for CSS Box model,3094.14,4.58
and look for an image,3098.819,6.661
this is basically how a div or any,3101.88,5.939
element in HTML is displayed on a page,3105.48,5.28
you have the content and then around the,3107.819,4.74
content you can specify something called,3110.76,4.5
padding some space and then outside the,3112.559,4.441
padding you can specify the border and,3115.26,3.299
then outside the Border you can specify,3117.0,4.14
more space called margin now don't worry,3118.559,4.921
if these terms don't make sense yet but,3121.14,4.439
the basic idea is anything inside the,3123.48,4.56
border is the content and outside the,3125.579,5.401
border is the margin so all of these are,3128.04,4.799
just different ways of providing space,3130.98,5.16
so let's talk about margins and let us,3132.839,5.881
try margin left,3136.14,5.88
and let us give it a margin of 80 pixels,3138.72,5.76
let's see what happens,3142.02,4.319
so if we give it a margin of 80 pixels,3144.48,3.839
and I reload the page you can see that,3146.339,4.5
now there is 80 pixels of space on the,3148.319,3.54
left,3150.839,5.161
still not centered maybe let me try,3151.859,8.46
200 pixels maybe that will Center it,3156.0,6.359
okay looks like it's getting to the,3160.319,4.561
center but not quite so I may experiment,3162.359,4.621
and I may shift it left and right and,3164.88,4.62
find the center but what if the screen,3166.98,4.619
size changes now suddenly it's off to,3169.5,4.2
the left so this is where,3171.599,5.161
we can use a trick instead of specifying,3173.7,5.1
margin left we can specify just margin,3176.76,4.74
and margin takes four arguments so,3178.8,5.279
margin can take four values where for,3181.5,4.26
the box that you want to apply this,3184.079,4.321
margin to you can specify how much,3185.76,4.26
margin you want on the top how much,3188.4,2.88
space you want on the right how much,3190.02,2.76
space you want on the bottom and on the,3191.28,4.44
left so in my case I don't need any,3192.78,4.62
space on the top so I'm just going to,3195.72,3.06
put 0 here,3197.4,4.02
maybe I want 80 pixels on the left and,3198.78,4.079
then I don't want any space on the,3201.42,3.24
bottom and then maybe I want 80 pixels,3202.859,2.881
on the right,3204.66,3.659
but ET on the left 80 on the right that,3205.74,4.8
may not do the job how exactly do you,3208.319,5.161
decide what 80 pixels is once it picks,3210.54,5.16
80 pixels on the left there's so much,3213.48,4.44
gap on the right that 80 is not going to,3215.7,4.32
do it so here's something that you can,3217.92,4.199
do in CSS something that you will do,3220.02,5.339
very often is make the left and right,3222.119,5.341
margin Auto,3225.359,4.921
then the browser decides that it has to,3227.46,4.68
give an automatic margin on both left,3230.28,3.839
and right and suddenly it gives you an,3232.14,3.66
equal margin,3234.119,4.021
so whenever you want to Center something,3235.8,5.22
on the page just use margin 0 Auto 0,3238.14,3.84
Auto,3241.02,3.9
or you can also just say zero or two and,3241.98,4.8
it will take this value and apply to the,3244.92,3.54
top and bottom and it will take this,3246.78,3.9
value and apply to the left and right so,3248.46,4.98
margin 0 Auto is a quick way to Center,3250.68,5.1
something on a page,3253.44,5.879
so this is definitely looking better,3255.78,5.94
there is a contact us here at the bottom,3259.319,4.74
let's Center that as well so here's what,3261.72,4.68
I'm going to do I am going to just put,3264.059,4.861
another div around this,3266.4,4.26
and,3268.92,3.3
what you need to do is you actually need,3270.66,3.36
to apply text line Center on this,3272.22,3.119
container and that is going to Center,3274.02,4.14
the button here now just for this,3275.339,5.041
creating an entire style declaration may,3278.16,4.74
become too much work so what I'm going,3280.38,4.02
to do is I'm going to apply the style,3282.9,3.36
inline so this is another way of,3284.4,4.8
applying CSS where you can apply Styles,3286.26,4.92
inline on a page so I'm just going to,3289.2,4.44
set style equals and I'm going to set,3291.18,4.62
text align,3293.64,4.439
Center and whenever you have just one or,3295.8,4.2
two small properties to put you can,3298.079,3.661
always just do that and now that has,3300.0,3.599
centered the button on the page one way,3301.74,4.92
of applying CSS is in the style tag in,3303.599,5.161
the head and then in the style tag you,3306.66,3.659
can select by,3308.76,5.16
tag you can select by ID,3310.319,6.661
and one other way of applying CSS is by,3313.92,5.399
directly specifying a style and then the,3316.98,5.28
property colon the value within the tag,3319.319,5.161
itself as an attribute using the style,3322.26,3.54
attribute,3324.48,3.96
now I want to show you one last way of,3325.8,6.18
specifying Styles which is not using,3328.44,5.76
tags and not using IDs which is using,3331.98,4.44
something called class now here we have,3334.2,4.5
a bunch of paragraphs right we have this,3336.42,3.659
paragraph here and then we have this,3338.7,2.639
paragraph here and because we have,3340.079,3.601
styled the P tag both of these,3341.339,5.401
paragraphs got affected by the P tag but,3343.68,4.62
let's say we also had another paragraph,3346.74,3.839
somewhere here at the bottom,3348.3,4.019
saying,3350.579,3.841
copyright,3352.319,4.26
2022,3354.42,3.6
Jovian,3356.579,3.661
and we did not want to apply the same,3358.02,4.14
style to this bottom tag as well maybe,3360.24,4.44
we want the copyright 2022 Joven to be,3362.16,4.38
small not big like this and maybe we,3364.68,3.48
also don't want it to be in the Roboto,3366.54,4.5
font so how do we do that this p is,3368.16,5.34
going to apply to all the paragraph tags,3371.04,5.039
so here is what we can do we can go into,3373.5,5.579
the paragraph tag and we can say class,3376.079,5.76
and we can now give it a name,3379.079,6.601
let's call this class body text you can,3381.839,5.401
call it anything you want the class name,3385.68,3.0
doesn't matter,3387.24,4.2
and let's call this also body text and,3388.68,5.22
let's not give this class to this third,3391.44,5.52
P tag okay and now instead of styling,3393.9,6.3
the P tag let us style the body text,3396.96,5.879
class so now we want to say dot body,3400.2,5.639
text and what this will do is any,3402.839,5.461
element whether it's a p a div whatever,3405.839,5.24
any element that has the class body text,3408.3,6.0
specified like this class body text is,3411.079,5.5
going to get these Styles and any,3414.3,3.48
element that does not have the class,3416.579,2.701
body text is not going to get these,3417.78,3.66
Styles so now if you see here this got,3419.28,5.1
applied body text this got body text,3421.44,5.159
but this did not get the styles that we,3424.38,3.66
applied using the class,3426.599,4.26
so that is the third way to apply CSS,3428.04,5.46
Styles okay so now we have one way which,3430.859,4.621
is to specify a tag name and then,3433.5,4.619
specify properties and values then we,3435.48,4.2
have another way which is to use an ID,3438.119,3.421
and then we have Third Way which is to,3439.68,3.78
use it class and the ID is specified,3441.54,4.5
using hash the class is specified using,3443.46,5.28
dot now remember ID ideally there should,3446.04,4.559
only be one element with a particular ID,3448.74,4.26
on the page because that's what browsers,3450.599,4.74
expect ID is identifier it is unique,3453.0,4.319
class can be applied to many elements,3455.339,3.48
that's the difference between ID and,3457.319,2.601
class,3458.819,4.621
and another way to apply CSS is directly,3459.92,6.399
using the style tag so with that now we,3463.44,4.919
have done some basic styling so that's,3466.319,4.621
fine we have now styled the page using,3468.359,6.24
CSS classes properties and values,3470.94,5.58
now one thing I want to show you is how,3474.599,4.26
to use a framework for faster,3476.52,4.14
development instead of having to type,3478.859,4.561
all the CSS manually for every website,3480.66,5.58
that you build you can use pre-existing,3483.42,5.04
set of styles that have been created by,3486.24,4.2
some good designers because you may not,3488.46,3.599
have great design skills I certainly,3490.44,3.179
don't as you can see,3492.059,4.861
so you can use pre-designed Styles and,3493.619,5.341
you can simply apply those styles to,3496.92,4.679
your page by specifying classes so,3498.96,4.2
here's what I mean let me first save,3501.599,2.401
this,3503.16,3.36
so let me say added,3504.0,6.38
HTML and CSS,3506.52,3.86
okay and let me come back here and let,3510.54,5.36
me get rid of all these styles,3512.339,3.561
okay and I'm also going to remove this,3517.38,5.54
one piece of style that I have here,3519.24,3.68
and I'm going to,3524.04,5.64
maybe also remove this body text for now,3526.26,5.16
I'm just gonna make it,3529.68,5.46
really basic just the HTML let's get rid,3531.42,6.24
of this as well,3535.14,6.479
and now let me go online and search for,3537.66,7.08
this Library called bootstrap,3541.619,6.5
bootstrap CSS,3544.74,3.379
so get bootstrap.com is the website,3548.579,6.24
and on getbootstrap.com you will find,3551.579,6.961
this Library the CSS framework which can,3554.819,6.601
be used to apply Styles easily to any,3558.54,4.68
website that you're building so let's,3561.42,4.56
click read the docs and let's see how to,3563.22,3.899
get started,3565.98,3.06
so first it says that you need to create,3567.119,4.021
a project you need to have an HTML file,3569.04,4.079
I think we have an HTML file already we,3571.14,3.659
have the file home.html that we are,3573.119,4.021
already working with and,3574.799,4.32
here it says that you need to add these,3577.14,3.9
couple of extra tags this is just some,3579.119,4.68
information so that bootstrap works,3581.04,4.559
properly we're not using bootstrap yet,3583.799,4.381
so let me copy these two meta tags and,3585.599,4.321
pop these into the head,3588.18,3.72
all right nothing has changed no change,3589.92,5.1
so far as such,3591.9,6.36
then it says include bootstrap CSS and,3595.02,6.539
JS so here it says that we want to copy,3598.26,7.28
this link tag here,3601.559,3.981
and put it in the head,3606.839,4.02
so for now I'm not going to include the,3609.0,3.78
JS or the JavaScript because we're not,3610.859,3.96
doing any interactive work right now but,3612.78,5.16
I'm going to copy the CSS so here,3614.819,5.461
all we need to do is come and paste this,3617.94,3.659
link tag,3620.28,5.22
and this link tag is simply a way to add,3621.599,6.301
a link to some other resource on the,3625.5,5.099
internet inside your HTML page and what,3627.9,4.26
are we linking to we are linking to the,3630.599,3.361
CSS file and you can actually open up,3632.16,3.6
the CSS file and see what it contains,3633.96,3.78
you can see that it contains a whole,3635.76,4.799
bunch of pre-configured styles for us so,3637.74,4.2
if I zoom in here you can see it,3640.559,4.981
contains like box Shadow Focus font,3641.94,6.119
weight etc etc so we don't need to worry,3645.54,4.559
about what it contains but it contains a,3648.059,4.8
set of pre-existing Styles and as soon,3650.099,5.941
as we add this link tag and Save,3652.859,5.161
all these pre-existing Styles get,3656.04,4.92
applied to our page immediately so if I,3658.02,5.52
reload here you can see that I already,3660.96,4.5
automatically got some really nice,3663.54,3.0
styles,3665.46,3.599
now they still need some work but this,3666.54,3.96
is looking pretty good,3669.059,4.56
and now if you go here and check the,3670.5,5.46
left side you're going to find a lot of,3673.619,4.98
utility classes the folks who built,3675.96,4.98
bootstrap have already implemented a lot,3678.599,5.281
of styles a lot of CSS and to apply,3680.94,5.52
those Styles all we need to do is add,3683.88,6.06
the appropriate classes into our HTML so,3686.46,4.8
here's what I mean let me show you an,3689.94,3.96
example let me go into containers and it,3691.26,4.079
says containers are a fundamental,3693.9,3.36
building block of bootstrap they contain,3695.339,4.081
and align your content within a given,3697.26,4.5
device or viewport okay all that is nice,3699.42,4.919
and here it says that there is a class,3701.76,5.039
container so dot always means class,3704.339,4.141
right so there is a class container,3706.799,4.621
which sets a maximum width with proper,3708.48,4.74
break points so let's not worry about,3711.42,3.84
all that let's just do this let us copy,3713.22,4.32
this class name container and let us,3715.26,4.5
come to the outermost div here and let,3717.54,4.62
us type class equals,3719.76,4.62
container okay all I'm doing here is,3722.16,4.62
just giving my outer div a class called,3724.38,5.76
container and what has that done that is,3726.78,5.16
now ensured,3730.14,3.78
if I reload the page here,3731.94,3.54
you're going to see that that is now,3733.92,3.419
centered my content on the page okay the,3735.48,3.42
image is causing a problem so let me,3737.339,5.24
just get rid of the image for a second,3738.9,3.679
this is now centered my content on the,3742.68,4.32
page you can see that automatically left,3745.319,3.961
and right margins get added for the page,3747.0,4.38
so that's great and you can see that the,3749.28,3.66
fonts have also changed fonts are also,3751.38,3.3
looking nice text is looking nicer more,3752.94,4.139
modern so that's all nice the image was,3754.68,3.72
causing a problem so let me add back,3757.079,3.421
that image and let me see what I can do,3758.4,6.719
about images let's see here images so,3760.5,6.9
images are made responsive by adding the,3765.119,4.561
IMG fluid class so what if I just do,3767.4,4.919
this if I just take this and give my,3769.68,5.24
image a class,3772.319,2.601
IMG fluid,3777.9,3.08
okay and now this image is rendering,3781.859,4.98
nicely now of course I may still want to,3784.26,4.74
do some more styling on my own so under,3786.839,4.081
the link tag I can still open up a style,3789.0,3.119
tag,3790.92,4.02
and let me give this image the ID Banner,3792.119,4.98
so it already has the ID Banner,3794.94,6.6
so let me now still limit its height to,3797.099,8.581
360 pixels let me set its object fit,3801.54,7.44
cover I may also want to send the width,3805.68,4.619
so width,3808.98,4.22
100 percent,3810.299,2.901
yep the image is looking nice now I want,3813.48,4.26
to Center this now how do we Center it,3815.64,4.979
now let's see here if I go back here and,3817.74,4.859
maybe search for I can always do this,3820.619,5.22
command K and let me just search Center,3822.599,6.841
and let's see text Center,3825.839,7.141
or Center text,3829.44,5.82
yep so looks like there is some text,3832.98,4.079
alignment classes so if you want to,3835.26,3.299
Center some text all we need to do is,3837.059,3.961
provide the class text Center so if I,3838.559,4.321
come back here and I just want to Center,3841.02,5.48
this heading so I say class,3842.88,3.62
text Center,3846.599,5.041
and now that is Centered for us and,3849.059,4.441
similarly for the,3851.64,3.959
H2 as well I'm going to provide the,3853.5,4.38
class text Center that's going to Center,3855.599,3.621
that,3857.88,6.199
and let's provide text Center,3859.22,4.859
and that's going to Center that,3865.74,4.68
it's looking nice I think one thing that,3868.559,3.54
I also want to do is maybe make this,3870.42,4.5
text a little bigger so let's see,3872.099,4.321
let's go up here I think there is,3874.92,4.62
another section on typography somewhere,3876.42,6.179
we have content typography and here we,3879.54,6.6
have headings and here we have,3882.599,5.941
lead this this looks interesting I like,3886.14,4.32
this so there seems to be a class called,3888.54,4.38
lead that I can add to a paragraph,3890.46,4.139
so I'm going to come into this paragraph,3892.92,4.8
and I'm going to add the class,3894.599,6.98
lead and that looks nice,3897.72,3.859
you can see that this has become bigger,3902.819,3.841
this is nice I may want to add some,3904.5,5.16
spacing above this some margins so I can,3906.66,4.98
again come in here and maybe press,3909.66,4.919
command K margin margin and padding,3911.64,5.28
so looks like there are these classes M1,3914.579,4.441
M2 P1 P2 that can be used for applying,3916.92,5.1
margins so Mt is used for applying a top,3919.02,5.339
margin I can use a class number zero one,3922.02,4.98
two three four or something like that 0,3924.359,6.0
1 2 3 4 5 to apply some margins so I can,3927.0,6.359
go in here into this H1 and I can say,3930.359,5.041
class text Center and then give a space,3933.359,5.041
and empty for margin top and give,3935.4,4.62
spacing above,3938.4,4.14
you see there is some space above and,3940.02,5.819
similarly MB for margin bottom and give,3942.54,6.259
some space below,3945.839,2.96
maybe make that mb4,3948.9,3.86
that's nice and I'm going to do the same,3953.46,5.339
thing here Mt margin top two so we are,3955.74,5.94
applying a class mt2 to this H2 and,3958.799,5.221
inside the bootstrap.css file there is a,3961.68,4.08
rule that says whenever you see the,3964.02,4.68
class mt2 apply a margin to the top and,3965.76,5.64
M before apply margin to the bottom this,3968.7,5.22
is the H2 let me apply it for this H2 as,3971.4,4.64
well,3973.92,2.12
all right this is already looking much,3978.359,4.5
better let's fix the button as well so,3980.22,5.04
button,3982.859,4.26
looks like there are these nice button,3985.26,3.779
classes here let me see if I can find a,3987.119,4.141
nice large button okay I want to make my,3989.039,3.601
contact button look like this so I'm,3991.26,3.18
just going to copy this button button,3992.64,3.6
primary button large,3994.44,6.599
and let me just put that class,3996.24,8.18
on the contact button,4001.039,3.381
and now the contact button is quite,4004.52,5.22
large and I can now put the class text,4006.5,5.96
Center here,4009.74,2.72
and that's nice now the copyright well,4016.4,4.38
maybe we want to add some spacing about,4019.16,4.86
the copyrights I'm going to type mt4,4020.78,5.279
and that's going to just give some space,4024.02,4.38
above the copyright,4026.059,4.5
all right so this is looking relatively,4028.4,3.959
much nicer we haven't added the jobs,4030.559,5.04
here but that's a quick introduction to,4032.359,6.601
HTML CSS and how to use an external,4035.599,5.52
framework like bootstrap for faster,4038.96,3.3
development,4041.119,3.96
now again you don't need to remember any,4042.26,5.52
of this all you need to do is go to,4045.079,5.341
bootstrap look in the sidebar for what,4047.78,5.819
you want to do and then simply look at,4050.42,6.0
an example and copy over the styles from,4053.599,5.101
that example that's a very quick way to,4056.42,4.08
build very powerful websites bootstrap,4058.7,3.599
also a support for sidebars it also,4060.5,4.02
supports for nav bars and all so what,4062.299,4.381
we've done so far is we set up a flask,4064.52,4.319
project we created a project on GitHub,4066.68,5.159
we opened it up on replit all different,4068.839,4.621
tools but they're just there to make our,4071.839,4.081
work easier we then created and ran a,4073.46,5.7
flask server then we saw how to push,4075.92,6.0
changes back to GitHub then we created a,4079.16,4.679
template so remember we put it inside,4081.92,4.5
the templates folder and then we,4083.839,4.321
rendered the template in the app using,4086.42,3.419
render template,4088.16,4.74
then we styled the page using CSS,4089.839,4.381
classes,4092.9,4.799
and then we used bootstrap to make our,4094.22,5.34
development faster so that we don't have,4097.699,3.421
to write a lot of CSS we don't have to,4099.56,4.38
become designers the bootstrap team can,4101.12,4.86
take care of that for us,4103.94,5.04
now let's talk about how to show Dynamic,4105.98,6.12
data on a web page,4108.98,5.64
it may not be a good idea to just list,4112.1,6.119
all the jobs directly in the HTML file,4114.62,5.46
because every time we want to add a new,4118.219,3.6
job we'll have to go into the HTML file,4120.08,3.179
and change something and every time we,4121.819,3.42
have to remove a job we'll have to go,4123.259,3.361
into the HTML file and change something,4125.239,3.181
and making changes directly inside an,4126.62,4.8
HTML file can be tricky often what is,4128.42,5.16
done is the data is stored somewhere,4131.42,4.74
else in a database where administrators,4133.58,4.86
can directly just create jobs within,4136.16,4.26
that database and then information is,4138.44,5.399
fetched from a database and entered into,4140.42,6.12
an HTML file and then displayed on the,4143.839,6.121
screen and sent to the browser so,4146.54,4.92
we are not going to connect to a,4149.96,3.719
database just yet but we are going to,4151.46,4.379
simulate something similar so I'm going,4153.679,4.921
to create a python list called jobs,4155.839,4.621
inside which I'm going to store the,4158.6,3.659
information about the jobs that I want,4160.46,3.779
to keep track of and I'm going to give,4162.259,4.08
each job an ID so I'm going to give this,4164.239,4.861
job an id1 and let's give the title of,4166.339,6.621
this job data analyst,4169.1,3.86
and let's set the location of this job,4173.839,6.261
to,4178.64,4.82
Bengaluru India,4180.1,3.36
and then let's set the salary as well,4184.1,6.86
let's set that to maybe rupees 10 lakhs,4187.759,5.881
and let's create a few more of these so,4190.96,4.779
let me copy this over,4193.64,7.26
let me add a data scientist role here,4195.739,9.621
and let's change this to Delhi,4200.9,4.46
that was 10 lakhs and that is 15 lakhs,4206.36,6.0
and then let's add another job maybe,4209.84,4.62
let's change the ID here as well,4212.36,3.6
so this is the kind of information that,4214.46,2.58
you would typically get out of a,4215.96,2.52
database but for now we're just storing,4217.04,4.8
it in a variable so let's maybe put this,4218.48,7.98
and call this front-end engineer,4221.84,7.859
and let's make that remote,4226.46,8.88
and let's make that 12 and let's put in,4229.699,9.02
backend engineer,4235.34,3.379
and let's put in here,4240.86,6.12
San Francisco USA,4243.8,5.64
and that will be in dollars so let's,4246.98,6.06
just change that to Dollar 120,4249.44,5.7
000.,4253.04,3.72
so now we have information about the,4255.14,4.38
jobs now we somehow want to send this,4256.76,6.6
information into the home.html template,4259.52,6.659
and the way to do it is by providing,4263.36,4.68
arguments into render templates so let's,4266.179,3.661
provide an argument called jobs and you,4268.04,3.179
can call these arguments anything you,4269.84,4.5
want so let's provide this jobs argument,4271.219,5.46
and into this jobs argument let us pass,4274.34,5.7
the value of this list of dictionaries,4276.679,7.261
so now I can go in here in home.html and,4280.04,5.28
now here we have this place where we,4283.94,3.239
want to show the jobs,4285.32,5.339
I can come back here and here now I can,4287.179,5.581
use some special syntax now this is not,4290.659,5.161
HTML this is not CSS this is something,4292.76,5.82
that flask has provided it is called a,4295.82,5.7
templating syntax it is a way to insert,4298.58,5.94
Dynamic data into your HTML into your,4301.52,4.86
CSS so I'm going to use these curly,4304.52,4.34
brackets and here I'm going to put jobs,4306.38,6.12
bracket bracket jobs,4308.86,5.56
so you see what happened,4312.5,5.64
whatever was there inside the jobs,4314.42,5.819
list which was passed as the argument,4318.14,3.24
jobs,4320.239,5.881
is now accessible inside home.html using,4321.38,7.08
these double curly brackets we've passed,4326.12,4.26
the list and that list got converted,4328.46,3.6
into a string and then all of that is,4330.38,3.66
going to be showing here but instead if,4332.06,3.48
you wanted to pass something else let's,4334.04,5.46
say if I go back here and I pass,4335.54,6.36
company name maybe this site supports,4339.5,3.9
multiple companies so company name,4341.9,3.36
equals Jovian,4343.4,5.04
and now instead of,4345.26,7.08
me rendering Jovian careers first let me,4348.44,6.42
just render careers,4352.34,6.18
so it just renders careers but now,4354.86,6.6
oops not here this is the page title we,4358.52,6.179
want to get the yeah here instead of,4361.46,5.759
rendering Jovian couriers in the H1 let,4364.699,5.161
me first just render careers,4367.219,5.641
and now let me add a template tag and,4369.86,5.16
let me get company name,4372.86,3.96
so remember I'm passing something called,4375.02,5.34
company name in app.pi here so now I can,4376.82,5.399
access company name by using these,4380.36,3.54
double curly brackets and now it is,4382.219,3.901
showing Jovian careers so this is the,4383.9,4.74
way you pass Dynamic information into,4386.12,4.559
the HTML templates and that is why these,4388.64,3.539
are called templates these are not going,4390.679,3.181
to always be shown the same way because,4392.179,3.181
then we'd have to create a whole bunch,4393.86,3.54
of files for every page that we want to,4395.36,3.839
show these are going to be filled in,4397.4,3.6
with a certain information using these,4399.199,3.061
tags,4401.0,3.54
so that's how tags work now the trouble,4402.26,3.78
is we don't want to show information,4404.54,3.74
like this if we look back at our,4406.04,4.98
excalator wireframe we want to show,4408.28,4.78
information like this this is much nicer,4411.02,5.159
how do we do that well template support,4413.06,6.119
some special syntax as well we can,4416.179,5.101
actually use a for Loop inside template,4419.179,4.5
so we can say for,4421.28,6.84
job in jobs so we want to get each job,4423.679,6.661
out of the jobs list remember jobs is a,4428.12,4.619
list jobs is a list containing many,4430.34,6.66
dictionaries or objects so for job in,4432.739,7.261
jobs and then we end the for by writing,4437.0,5.04
and for so everything else is going to,4440.0,3.6
be inside,4442.04,2.94
and by the way this is just a good,4443.6,3.0
practice whenever you open a tag it's,4444.98,3.66
always a good idea to First close it and,4446.6,3.84
then move your cursor back inside so,4448.64,4.2
that you can keep track otherwise you,4450.44,5.04
forget things so for job and job so now,4452.84,5.16
job is going to contain each individual,4455.48,4.92
job and let me just for nuance render,4458.0,4.56
Insider div,4460.4,4.68
let me render,4462.56,4.26
and let me change this also to a div,4465.08,4.02
this is not exactly a paragraph so to,4466.82,4.98
speak so let me just render job now job,4469.1,4.559
is a dictionary python dictionary and,4471.8,4.26
from the job let me get what information,4473.659,4.981
can I get let me just render job title,4476.06,6.679
okay so job title,4478.64,4.099
let's see now,4482.78,3.84
all right so now we've introduced a for,4484.34,5.1
Loop using this special syntax and now,4486.62,4.68
inside the for Loop we have access to,4489.44,4.5
the job variable which in each Loop,4491.3,5.46
takes the value of the specific job and,4493.94,4.98
then we have this title that we are,4496.76,3.66
extracting out of the job variable so,4498.92,3.239
that's nice now let's style it a little,4500.42,5.16
bit let's make it look like this so let,4502.159,6.06
me have this div here like I already,4505.58,7.4
have and let me make this an H4,4508.219,4.761
and then below it let me render the,4514.94,5.82
information about,4518.659,6.0
the job location,4520.76,3.899
and let me just type the word location,4526.46,4.08
here to make it super clear that I'm,4528.5,3.84
talking about location,4530.54,4.86
okay location Bengaluru India looking,4532.34,5.879
good let me make this bold so one quick,4535.4,5.22
way to make things bold in HTML is using,4538.219,5.281
the B tag again something you can very,4540.62,5.4
easily look up how to make text bold in,4543.5,5.0
HTML,4546.02,2.48
great looks nice I'm just going to set,4549.199,6.841
style equals,4553.219,5.581
color RGB,4556.04,6.48
and 120 120 120,4558.8,7.1
to give it a nice gray color,4562.52,3.38
we may need some spacing right now the,4566.36,3.24
spacing is a little messed up so I'm,4568.04,6.119
going to go back into this H4 tag and,4569.6,8.72
I am going to just give it margin bottom,4574.159,8.181
4px let's just see,4578.32,4.02
and I am going to go into this div tag,4583.04,4.139
and I'm going to give it,4585.38,5.52
margin bottom,4587.179,6.54
16px,4590.9,4.86
I could also use bootstrap classes here,4593.719,4.561
but this was just easier to do I've got,4595.76,6.78
the location in here now let me put in,4598.28,7.08
let's put in maybe the salary as well so,4602.54,5.46
let's put salary,4605.36,4.62
jobs salary,4608.0,3.9
foreign,4609.98,4.38
and there you go now we have the salary,4611.9,3.6
as well,4614.36,3.48
what if salary is not mentioned for a,4615.5,4.14
certain role what happens then so let's,4617.84,3.839
say this one does not have a salary the,4619.64,4.98
front-end engineer role,4621.679,5.821
so looks like it rendered empty so how,4624.62,5.16
about we go back here and handle that,4627.5,4.62
just like you have four you can also use,4629.78,5.1
if so I'm going to put an if tag here so,4632.12,3.96
percent,4634.88,2.339
if,4636.08,2.7
percent,4637.219,5.101
salary if the key salary,4638.78,6.48
is present in the dictionary job,4642.32,5.28
then render this div otherwise don't,4645.26,4.08
render it,4647.6,5.66
and then we have to do an end if,4649.34,3.92
so now you can see here front end,4654.679,3.721
engineer just says location remote now,4656.12,4.14
one thing you might want to do is this,4658.4,3.779
same job information you may want to,4660.26,5.28
render on other Pages as well so what we,4662.179,4.861
can do is we can take this layout,4665.54,4.32
everything inside the four and I can,4667.04,7.58
create a new layout let me call this,4669.86,4.76
job item dot HTML and I'll just put this,4674.659,5.221
here,4678.92,4.44
and let me just adjust the,4679.88,5.339
